pmid,doi,year,journal,title,abstract,pubtypes,authors,screening_reasons,screen_v2_reasons,screen_v2_reasons
39739621,10.1002/advs.202410998,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Tertiary Lymphoid Structures are Linked to Enhanced Antitumor Immunity and Better Prognosis in Muscle-Invasive Bladder Cancer.,"The prognosis for muscle-invasive bladder cancer (MIBC) remains poor, and reliable prognostic markers have yet to be identified. Tertiary lymphoid structures (TLS) have been associated with favorable outcomes in certain cancers. However, the relationship between TLS and MIBC remains unclear. A multi-omics approach is utilized, leveraging single-cell RNA sequencing, spatial transcriptomics, bulk RNA sequencing, and immunohistochemistry, to investigate the roles of B cells and TLS in MIBC. These findings indicate that elevated levels of B cells and TLS correlate with improved prognoses in patients with MIBC, aligning with the robust antitumor immune responses observed in the TLS region. From a mechanistic perspective, CXCL13 serves as a critical cytokine for TLS formation in MIBC, primarily secreted by clonally expanded CXCL13+ T cells. This cytokine interacts with the CXCR5 receptor on NR4A2+ B cells, promoting TLS development. Plasma cells arising within the TLS microenvironment predominantly produce the IGHG antibody, potentially enhancing the phagocytic capabilities of C1QC+ macrophages. From an application standpoint, a TLS-specific gene signature is developed that effectively predicts outcomes in MIBC and other cancers. This study highlights the prognostic potential of TLS in MIBC and reveals immune mechanisms, offering insights for personalized treatment strategies.© 2024 The Author(s). Advanced Science published by Wiley‐VCH GmbH.",Journal Article,Lin J; Jiang S; Chen B; Du Y; Qin C; Song Y; Peng Y; Ding M; Wu J; Lin Y,,not_signature_definition,not_signature_definition
39603145,10.1016/j.clgc.2024.102262,2025,Clinical genitourinary cancer,Transcriptome-Based Network Analysis Related to Histone Deacetylase Genes and Identified EMP1 as a Potential Biomarker for Prognosis in Bladder Cancer.,"Abnormal expression and function of histone deacetylases (HDACs) are closely associated with the development of bladder cancer (BCa). Systematic elucidation of the role of HDACs in BCa is expected to improve BCa prognosis and treatment strategies.We explored the correlation and expression patterns of HDAC family genes in BCa. Consensus clustering was employed to categorize BCa into subtypes based on HDAC expression profiles. Differential analysis, pathway enrichment analysis, and drug responsiveness evaluation were conducted to characterize HDAC subtypes. Then, a prognostic model based on HDAC cluster related genes was constructed and validated across multiple cohorts.We identified distinct HDAC expression patterns and correlations with immune cell infiltration and enrichment of pathways in cancer, highlighting their role in BCa. Consensus clustering revealed 2 HDAC gene subtypes. Gene cluster 1 showed worse survival, higher clinical stage, and lower immune cell infiltration compared to gene cluster 2. Additionally, pathway enrichment analysis revealed differences in tumor-promoting pathways between the clusters. Moreover, gene cluster 1 exhibited higher resistance to Rho kinase inhibitor drugs. Multi-omic analysis unveiled unique mutation and CNV profiles between the clusters, indicating distinct molecular features. Furthermore, a HDAC gene-related prognostic model demonstrated robust predictive accuracy and identified EMP1 as a key prognostic gene associated with poor survival and enriched metastatic pathways.Our study provides comprehensive insights into the landscape of HDACs in BCa, elucidating their roles in tumor heterogeneity, immune modulation, drug responsiveness, and molecular features. EMP1 is a potential therapeutic target and prognostic marker for BCa.Copyright © 2024 Elsevier Inc. All rights reserved.",Journal Article,Bao Q; Li Y; Chen Y; Zheng J; Zhao J; Hu T,,not_signature_definition,not_signature_definition
39759522,10.3389/fimmu.2024.1522582,2024,Frontiers in immunology,Spatially-resolved analyses of muscle invasive bladder cancer microenvironment unveil a distinct fibroblast cluster associated with prognosis.,"Muscle-invasive bladder cancer (MIBC) is a prevalent cancer characterized by molecular and clinical heterogeneity. Assessing the spatial heterogeneity of the MIBC microenvironment is crucial to understand its clinical significance.In this study, we used imaging mass cytometry (IMC) to assess the spatial heterogeneity of MIBC microenvironment across 185 regions of interest in 40 tissue samples. We focused on three primary parameters: tumor (T), leading-edge (L), and nontumor (N). Cell gating was performed using the Cytobank platform. We calculated the Euclidean distances between cells to determine cellular interactions and performed single-cell RNA sequencing (scRNA-seq) to explore the molecular characteristics and mechanisms underlying specific fibroblast (FB) clusters. scRNA-seq combined with spatial transcriptomics (ST) facilitated the identification of ligand-receptor (L-R) pairs that mediate interactions between specific FB clusters and endothelial cells. Machine learning algorithms were used to construct a prognostic gene signature.The microenvironments in the N, L, and T regions of MIBC exhibited spatial heterogeneity and regional diversity in their components. A distinct FB cluster located in the L region-identified as S3-is strongly associated with poor prognosis. IMC analyses demonstrated a close spatial association between S3 and endothelial cells, with S3-positive tumors exhibiting increased blood vessel density and altered vascular morphology. The expression of vascular endothelial growth factor receptor and active vascular sprouting were significant in S3-positive tumors. scRNA-seq and ST analyses indicated that the genes upregulated in S3 were associated with angiogenesis. NOTCH1-JAG2 signaling pathway was identified as a significant L-R pair specific to S3 and endothelial cell interactions. Further analysis indicated that YAP1 was a potential regulator of S3. Machine learning algorithms and Gene Set Variation Analysis were used to establish an S3-related gene signature that was associated with the poor prognosis of tumors including MIBC, mesothelioma, glioblastoma multiforme, lower-grade glioma, stomach adenocarcinoma, uveal melanoma, kidney renal clear cell carcinoma, kidney renal papillary cell carcinoma, and lung squamous cell carcinoma.We assessed the spatial landscape of the MIBC microenvironment and revealed a specific FB cluster with prognostic potential. These findings offer novel insights into the spatial heterogeneity of the MIBC microenvironment and highlight its clinical significance.Copyright © 2024 Feng, Wang, Song, Liu, Mo, Liu, Wu, Qin, Wang, Tao, He, Tang, Xie, Wang and Li.","Journal Article; Research Support, Non-U.S. Gov't",Feng C; Wang Y; Song W; Liu T; Mo H; Liu H; Wu S; Qin Z; Wang Z; Tao Y,,not_signature_definition; single_gene_likely,not_signature_definition; single_gene_likely
39368544,10.1016/j.biocel.2024.106672,2024,The international journal of biochemistry & cell biology,A modified model of PANoptosisto identify prognosis and immunotherapy response in bladder cancer.,"Cell death, including apoptosis and necrosis, collectively known as widespread apoptosis. The present study aims to investigate the mechanism of action in widespread apoptosis-related modification patterns in bladder cancer.Using a clinical genomics database, we obtained transcriptomic data and related clinical information of bladder cancer patients. By employing the least absolute shrinkage analysis, we were able to construct a risk model and single-cell sequencing analysis of differential genes in bladder cancer.Five differentially expressed genes (TMPRSS4, TPST1, FOXD1, ELOVL4, EMP1) associated with widespread apoptosis were identified as features for predicting the prognosis of bladder cancer patients. Survival curve analysis revealed significant differences in prognosis (P<0.05). Additionally, multivariate Cox regression analysis determined the independent risk factor for bladder cancer prognosis as the risk score (P<0.001), with high confidence in the scoring model validated internally (P<0.001). Single-cell sequencing reveals high expression of CDKN2A, ERBB2, and TMPRSS4 in B cells, while HRAS is significantly expressed in fibroblasts.PANscore, as a potential prognostic and immunotherapeutic biomarker, will provide more precise and rational basis for personalized treatment strategies.Copyright © 2024. Published by Elsevier Ltd.",Journal Article,Lv W; Lei X; Wang H; Wang T; Zhang J,,not_signature_definition,not_signature_definition
38701267,10.1097/MD.0000000000038005,2024,Medicine,Identification of cuproptosis-related long non-coding RNA and construction of a novel prognostic signature for bladder cancer: An observational study.,"Bladder Urothelial Carcinoma (BLCA), a prevalent and lethal cancer, lacks understanding regarding the roles and prognostic value of cuproptosis-related lncRNAs (CRLs), a novel form of cell death induced by copper. We collected RNA-seq data, clinical information, and prognostic data for 414 BLCA samples and 19 matched controls from The Cancer Genome Atlas. Using multivariate and univariate Cox regression analyses, we identified CRLs to create a prognostic signature. Patients were then divided into low- and high-risk groups based on their risk scores. We analyzed overall survival using the Kaplan-Meier method, evaluated stromal and immune scores, and explored functional differences between these risk groups with gene set enrichment analysis. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses were also conducted to understand the links between CRLs and BLCA development. We developed a prognostic signature using 4 independent CRLs: RC3H1-IT1, SPAG5-AS1, FAM13A-AS1, and GNG12-AS1. This signature independently predicted the prognosis of BLCA patients. High-risk patients had worse outcomes, with gene set enrichment analysis revealing enrichment in tumor- and immune-related pathways in the high-risk group. Notably, high-risk patients exhibited enhanced responses to immunotherapy and conventional chemotherapy drugs like sunitinib, paclitaxel, and gemcitabine. The independent prognostic signature variables RC3H1-IT1, SPAG5-AS1, FAM13A-AS1, and GNG12-AS1 predicted the prognoses of BLCA patients and provided a basis for the study of the mechanism of CRLs in BLCA development and progression, and the guidance of clinical treatments for patients with BLCA.Copyright © 2024 the Author(s). Published by Wolters Kluwer Health, Inc.",Journal Article; Observational Study,Ye Z; Liu C; Wu S; Jin X; Lin H; Wang T; Zheng Q; Guo Z,,non_mrna,non_mrna
38356551,10.1016/j.heliyon.2024.e25573,2024,Heliyon,Disulfidptosis characterizes the tumor microenvironment and predicts immunotherapy sensitivity and prognosis in bladder cancer.,"Bladder cancer (BLCA) is prone to metastasis and has poor prognosis with unsatisfactory treatment responsiveness. Disulfidptosis is a recently discovered, novel mode of cell death that is closely associated with human cancers. However, a comprehensive analysis of the relationship between disulfidptosis and BLCA is lacking. Therefore, this study aimed to explore the potential effect of disulfidptosis on BLCA and identify a biomarker for evaluating the prognosis and immunotherapy of patients with BLCA.We acquired BLCA RNA sequencing data from The Cancer Genome Atlas Urothelial Bladder Carcinoma (TCGA-BLCA) cohort (containing 19 normal samples and 409 tumor samples) and the GES39281 cohort (containing 94 tumor samples) which were used for external validation of the signature. Initially, we performed unsupervised consensus clustering to explore disulfidptosis-related subgroups. We then conducted functional enrichment analysis on these subgroups to gain insights into their biological significance and evaluate their immunotherapy response and chemotherapy sensitivity. Next, we conducted Least Absolute Shrinkage and Selection Operator (LASSO) regression and multivariate Cox regression to construct a prognostic signature in the TCGA training set for prognosis-related differentially expressed genes (DEGs) in the disulfidptosis-related subgroups. Subsequently, we used a receiver operating characteristic (ROC) curve and independent prognostic analysis to validate the predictive performance of the signature in the TCGA testing and the GES39281 cohorts. Finally, we explored the therapeutic value of this signature in patients with BLCA, in terms of immunotherapy and chemotherapy.In this study, we obtained two subgroups: DRG-high (238 samples) and DRG-low (160 samples). The DRG-high group exhibited a poor survival rate compared to the DRG-low group and had a significant association with tumor grade, stage, and metastasis. Additionally, several pathways related to cancer and the immune system were enriched in the high-DRG group. Moreover, the DRG-high group exhibited higher expression of PD1 and CTLA4 and had a better response to immunotherapy in patients with both PD1 and CTLA4 positivity. Conversely, the DRG-high group was more sensitive to common chemotherapeutic agents. A prognostic signature was created, consisting of COL5A1, DIRAS3, NKG7, and POLR3G and validated as having a robust predictive capability. Patients in the low-risk-score group had more immune cells associated with tumor suppression and better immunotherapy outcomes.This study contributes to our understanding of the characteristics of disulfidptosis-related subgroups in BLCA. Disulfidptosis-related signatures can be used to assess the prognosis and immunotherapy of patients with BLCA.© 2024 The Authors.",Journal Article,Pan G; Xie H; Xia Y,,not_signature_definition,not_signature_definition
38268861,10.2147/IJGM.S438501,2024,International journal of general medicine,Cuproptosis-Related lncRNAs Modulate the Prognosis of MIBC by Regulating the Expression Pattern of Immunosuppressive Molecules Within the Tumor Microenvironment.,"Cuproptosis-related gene and long non-coding RNA (lncRNA) modulation of cancer regulation is well-established. This investigation aimed to elucidate the prognostic implications of cuproptosis-associated lncRNAs in muscle-invasive bladder cancer (MIBC).Employing the Cancer Genome Atlas (TCGA) and IMvigor210 cohorts, bioinformatics and statistical analyses probed the prognostic relevance of cuproptosis-related lncRNAs.Co-expression analysis revealed tight associations between lncRNA expression and cuproptosis-linked genes, with 13 cuproptosis-related lncRNAs found to correlate with MIBC prognosis. Lasso regression identified a six-lncRNA prognostic signature, enabling patient stratification into high- and low-risk categories. Tissue validation substantiated differential expression of FAM13A-AS1, GHRLOS, LINC00456, OPA1-AS1, RAP2C-AS1, and UBE2Q1-AS1 between MIBC tumor and normal tissues. Comparative analyses of tumor microenvironments and immune profiles between risk groups disclosed elevated immunosuppressive molecule expression, including programmed cell death-1 (PD-L1) and T-cell immunoglobulin-3 (TIM-3), in high-risk individuals.These findings suggest that cuproptosis-related lncRNAs may modulate the expression of immunosuppressive molecules, thereby influencing MIBC tumorigenesis and progression. Further exploration is warranted to unveil novel therapeutic targets for MIBC based on the expression patterns of cuproptosis-related lncRNAs and their impact on immune responses in the tumor microenvironment.© 2024 Duan et al.",Journal Article,Duan H; Shen Y; Wang C; Xia W; Zhang S; Yu S; Xu D; Cao Q; Liu H; Shen H,,non_mrna; not_signature_definition; single_gene_likely,non_mrna; not_signature_definition; single_gene_likely
38172584,10.1038/s41598-023-50740-x,2024,Scientific reports,Identification and validation of prognostic signature genes of bladder cancer by integrating methylation and transcriptomic analysis.,"Being a frequent malignant tumor of the genitourinary system, Bladder Urothelial Carcinoma (BLCA) has a poor prognosis. This study focused on identifying and validating prognostic biomarkers utilizing methylation, transcriptomics, and clinical data from The Cancer Genome Atlas Bladder Urothelial Carcinoma (TCGA BLCA) cohort. The impact of altered differentially methylated hallmark pathway genes was subjected to clustering analysis to observe changes in the transcriptional landscape on BLCA patients and identify two subtypes of patients from the TCGA BLCA population where Subtype 2 was associated with the worst prognosis with a p-value of 0.00032. Differential expression and enrichment analysis showed that subtype 2 was enriched in immune-responsive and cancer-progressive pathways, whereas subtype 1 was enriched in biosynthetic pathways. Following, regression and network analyses revealed Epidermal Growth Factor Receptor (EGFR), Fos-related antigen 1 (FOSL1), Nuclear Factor Erythroid 2 (NFE2), ADP-ribosylation factor-like protein 4D (ARL4D), SH3 domain containing ring finger 2 (SH3RF2), and Cadherin 3 (CDH3) genes to be the most significant prognostic gene markers. These genes were used to construct a risk model that separated the BLCA patients into high and low-risk groups. The risk model was also validated in an external dataset by performing survival analysis between high and low-risk groups with a p-value < 0.001 and the result showed the high group was significantly associated with poor prognosis compared to the low group. Single-cell analyses revealed the elevated level of these genes in the tumor microenvironment and associated with immune response. High-grade patients also tend to have a high expression of these genes compared to low-grade patients. In conclusion, this research developed a six-gene signature that is pertinent to the prediction of overall survival (OS) and might contribute to the advancement of precision medicine in the management of bladder cancer.© 2024. The Author(s).",Journal Article,Chatterjee D; Mou SI; Sultana T; Hosen MI; Faruk MO,,non_mrna,non_mrna
38282152,10.1002/jgm.3651,2024,The journal of gene medicine,Unveiling Anoikis-related genes: A breakthrough in the prognosis of bladder cancer.,"Bladder cancer (BLCA) is a prevalent malignancy worldwide. Anoikis remains a new form of cell death. It is necessary to explore Anoikis-related genes in the prognosis of BLCA.We obtained RNA expression profiles from the The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus databases for dimensionality reduction analysis and isolated epithelial cells, T cells and fibroblasts for copy number variation analysis, pseudotime analysis and transcription factor analysis based on R package. We integrated machine-learning algorithms to develop the artificial intelligence-derived prognostic signature (AIDPS).The performance of AIDPS with clinical indicators was stable and robust in predicting BLCA and showed better performance in every validation dataset compared to other models. Mendelian randomization analysis was conducted. Single nucleotide polymorphism (SNP) sites of rs3100578 (HK2) and rs66467677 (HSP90B1) exhibited significant correlation of bladder problem (not cancer) and bladder cancer, whereasSNP sites of rs3100578 (HK2) and rs947939 (BAD) had correlation between bladder stone and bladder cancer. The immune infiltration analysis of the TCGA-BLCA cohort was calculated via the ESTIMATE (i.e. Estimation of STromal and Immune cells in MAlignantTumours using Expression data) algorithm which contains stromal, immune and estimate scores. We also found significant differences in the IC50 values of Bortezomib_1191, Docetaxel_1007, Staurosporine_1034 and Rapamycin_1084 among the high- and low-risk groups.In conclusion, these findings indicated Anoikis-related prognostic genes in BLCA and constructed an innovative machine-learning model of AIDPS with high prognostic value for BLCA.© 2024 John Wiley & Sons Ltd.",Journal Article,Jiang S; Yang X; Lin Y; Liu Y; Tran LJ; Zhang J; Qiu C; Ye F; Sun Z,,not_signature_definition,not_signature_definition
37283097,10.3724/zdxbyxb-2022-0539,2023,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,Construction of prognostic risk model of bladder cancer based on cuproptosis-related long non-coding RNAs.,"To construct a prognosis risk model based on long noncoding RNAs (lncRNAs) related to cuproptosis and to evaluate its application in assessing prognosis risk of bladder cancer patients.RNA sequence data and clinical data of bladder cancer patients were downloaded from the Cancer Genome Atlas database. The correlation between lncRNAs related to cuproptosis and bladder cancer prognosis was analyzed with Pearson correlation analysis, univariate Cox regression, Lasso regression, and multivariate Cox regression. Then a cuproptosis-related lncRNA prognostic risk scoring equation was constructed. Patients were divided into high-risk and low-risk groups based on the median risk score, and the immune cell abundance between the two groups were compared. The accuracy of the risk scoring equation was evaluated using Kaplan-Meier survival curves, and the application of the risk scoring equation in predicting 1, 3 and 5-year survival rates was evaluated using receiver operating characteristic (ROC) curves. Univariate and multivariate Cox regression were used to screen for prognostic factors related to bladder cancer patients, and a prognostic risk assessment nomogram was constructed, the accuracy of which was evaluated with calibration curves.A prognostic risk scoring equation for bladder cancer patients was constructed based on nine cuproptosis-related lncRNAs. Immune infiltration analysis showed that the abundances of M0 macrophages, M1 macrophages, M2 macrophages, resting mast cells and neutrophils in the high-risk group were significantly higher than those in the low-risk group, while the abundances of CD8+ T cells, helper T cells, regulatory T cells and plasma cells in the low-risk group were significantly higher than those in the high-risk group (all P<0.05). Kaplan-Meier survival curve analysis showed that the total survival and progression-free survival of the low-risk group were longer than those of the high-risk group (both P<0.01). Univariate and multivariate Cox analysis showed that the risk score, age and tumor stage were independent factors for patient prognosis. The ROC curve analysis showed that the area under the curve (AUC) of the risk score in predicting 1, 3 and 5-year survival was 0.716, 0.697 and 0.717, respectively. When combined with age and tumor stage, the AUC for predicting 1-year prognosis increased to 0.725. The prognostic risk assessment nomogram for bladder cancer patients constructed based on patient age, tumor stage, and risk score had a prediction value that was consistent with the actual value.A bladder cancer patient prognosis risk assessment model based on cuproptosis-related lncRNA has been successfully constructed in this study. The model can predict the prognosis of bladder cancer patients and their immune infiltration status, which may also provide a reference for tumor immunotherapy.",Journal Article,Xu C; Chen A; Mao C; Cui B,,non_mrna,non_mrna
36579659,10.3892/mmr.2022.12925,2023,Molecular medicine reports,An angiogenesis‑related lncRNA signature for the prognostic prediction of patients with bladder cancer and LINC02321 promotes bladder cancer progression via the VEGFA signaling pathway.,"The mechanism underlying bladder cancer metastasis is associated with tumor angiogenesis. The present study aimed to evaluate the predictive role and value of an angiogenesis‑associated long non‑coding (lnc)RNA signature in patients with bladder cancer and the role of long intergenic non‑coding RNA (LINC)02321 in the progression of this malignancy. Angiogenesis‑related lncRNAs were screened using Pearson correlation analysis and the signaturewas constructed using Cox regression analysis and evaluated using the receiver operating characteristic curve. LINC02321, which expressed the largest difference in bladder cancer, was screened using reverse transcription‑quantitative PCR. The role of LINC02321 in the malignant progression of bladder cancer was evaluated using Transwell, wound healing and Cell Counting Kit 8 assays. A total of six angiogenesis‑associated lncRNAs (USP30‑AS1, LINC02321, PSMB8‑AS1, KRT7‑AS, LINC01767 and OCIAD1‑AS1) were identified as candidates for the prognostic signature using Cox regression analysis. The overall survival of patients in the low‑risk group was significantly longer compared with that in the high‑risk group, with the highest area under the curve value being 0.807. A nomogram was constructed based on the traditional clinical indicators (age, sex, grade, American Joint Committee on Cancer stage) and risk score of patients. Compared with the traditional clinical indicators, the risk score demonstrated better clinical prediction capacity for predicting the prognosis of patients with bladder cancer. The Cancer Genome Atlas prediction and RT‑qPCR experimental results demonstrated that only LINC02321 was highly expressed in bladder cancer tissue and promoted the proliferation, invasion, migration and cisplatin resistance of the malignancy. Gene set enrichment, Pearson's correlation analysis and experimental results demonstrated that the VEGFA signalling pathway may be involved in the LINC02321‑regulated progression of bladder cancer. In conclusion, the six angiogenesis‑associated lncRNA signatures reported in the present study may be used to predict the prognosis of patients with bladder cancer, and LINC02321 promoted malignant progression of bladder cancer via the VEGFA signalling pathway.",Journal Article,Kang Z; Dou Q; Huang T; Tu M; Zhong Y; Wang M; Li T,,non_mrna,non_mrna
36505302,,2022,American journal of translational research,The predictive value of pyroptosis for the prognosis and immune escape of bladder cancer.,"To evaluate the predictive value of pyroptosis-related genes for the prognosis and immune escape of bladder cancer (BC).Transcriptomic and single nucleotide polymorphisms (SNPs) data were downloaded from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) portal. Least absolute shrinkage and selection operator (LASSO) analysis was carried out to construct a prognostic risk model for BC patients.Based on the expression of 50 pyroptosis-related genes, BC patients from TCGA database were divided into two clusters, which showed significant differences in overall survival and disease specific survival. Furthermore, we intersected the differentially expressed genes between these two clusters with those identified from the GSE13507 dataset and finally identified eight survival related genes, which was used to construct a prognostic risk model by LASSO Cox regression. According to the model, the high-risk (HR) group was closely associated with poor survival or the advanced pathological stage of BC. In addition, the HR group was mainly enriched in cell cycle and immune-related pathways and had a higher TP53 mutation rate than the low-risk (LR) group. Furthermore, these two risk groups were significantly related to immune cell composition, immune cell infiltration, and immune response. Importantly, a higher expression of PD-1, PD-L1, and CTLA4 as well as higher immune exclusion scores were found in the HR group, suggesting a higher possibility of immune escape.Our studies revealed the key role of pyroptosis in predicting the prognosis, TP53 mutation, and immune escape of patients with BC.AJTR Copyright © 2022.",Journal Article,Liu Y; Pang ZQ; Han YS; Shen LK; Yao WH; Zhang L; He JX; Shan YJ; Ren MH,,not_signature_definition,not_signature_definition
36358715,10.3390/cancers14215295,2022,Cancers,The Urothelial Transcriptomic Response to Interferon Gamma: Implications for Bladder Cancer Prognosis and Immunotherapy.,"Interferon gamma (IFNγ) is central to the inflammatory immune response, such as that entrained by BCG immunotherapy for bladder cancer. However, immune-mediated tumour cell killing is subject to modulation by immunoinhibitory ""checkpoint"" receptors such as PD-L1. We investigated the effects of IFNγ on barrier-forming in vitro-differentiated normal human urothelium using mRNA-sequencing, and showed canonical upregulation of MHC class I/II and de novo expression of the T cell tropic CXCL9-11 chemokines. Normal urothelium constitutively expressed immunoinhibitory B7 family member VSIR (VISTA), while CD274 (PD-L1) expression was induced/upregulated by IFNγ. We generated a urothelial IFNγ response gene signature. When applied to the unsupervised clustering of non-muscle-invasive bladder cancers, the IFNγ-signature predicted longer recurrence-free survival. In muscle-invasive cancers, the IFNγ-signature split the basal/squamous consensus subtype, with significantly worse overall survival when weak or absent. This study offers novel insights into strategies to enhance immunotherapy via the IFNγ and VISTA/PD-L1 nexus.",Journal Article,Baker SC; Mason AS; Slip RG; Eriksson P; Sjödahl G; Trejdosiewicz LK; Southgate J,,not_signature_definition,not_signature_definition
36186475,10.3389/fgene.2022.990326,2022,Frontiers in genetics,Comprehensive analysis of cuproptosis-related long noncoding RNA immune infiltration and prediction of prognosis in patients with bladder cancer.,"Background: Bladder cancer (BCa), among the world's most common malignant tumors in the urinary system, has a high morbidity and mortality. Though cuproptosis is a new type of cell death mediated by lipoylated tricarboxylic acid (TCA) cycle proteins, the role of cuproptosis-related long noncoding RNAs (crlncRNAs) in bladder tumors awaits further elucidation. In this paper, we tried to explore how important crlncRNAs are for BCa. Methods: The crlncRNAs were first obtained through Pearson correlation analysis of the RNA-seq data and corresponding clinical data downloaded from The Cancer Genome Atlas (TCGA). Then, three lncRNAs were acquired by Cox regression and Lasso regression to build a prognostic model of crlncRNAs for verification. In the meantime, clinicopathological correlation analysis, Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis, principal component analysis (PCA), immunoassay, and half-maximal inhibitory concentration prediction (IC50) were carried out. Then, an entire tumor was classified into two clusters by crlncRNA expression to further discuss the differences in prognosis, immune status and drug susceptibility among different subgroups. Results: We obtained a total of 152 crlncRNAs and built a risk model for screened crlncRNAs. We validated the model and found that calibration charts feature a high consistency in verifying nomogram prediction. Receiver operating characteristic (ROC) curve and univariate and multivariate Cox regression suggested that this model can be applied as an independent prognostic factor of bladder cancer due to its high accuracy. According to KEGG analysis, high-risk groups were enriched in cancer and immune-related pathways. During tumor immunoassay, noticeable differences were observed in both immune infiltration and checkpoints between high- and low-risk patients. Of the two subgroups divided among patients by consensus clustering, cluster 2 had a better prognosis, whereas cluster 1 had higher immunoreactivity scores, more immune cell infiltrations and immune checkpoint expressions, and different sensitivities to drugs. Conclusion: The research findings demonstrate that crlncRNAs can be used to predict the prognosis and immune microenvironment of patients suffering from BCa, and differentiate between BCa subgroups to improve the individual therapy of BCa.Copyright © 2022 Zhang, Li, Li, Zhao, Zhou, Jiang, Wen, Meng and Li.",Journal Article,Zhang Y; Li X; Li X; Zhao Y; Zhou T; Jiang X; Wen Y; Meng W; Li S,,not_signature_definition,not_signature_definition
36118856,10.3389/fgene.2022.952369,2022,Frontiers in genetics,Construction and verification of a novel hypoxia-related lncRNA signature related with survival outcomes and immune microenvironment of bladder urothelial carcinoma by weighted gene co-expression network analysis.,"Background: Bladder urothelial carcinoma (BLCA) is a common malignant tumor with the greatest recurrence rate of any solid tumor. Hypoxia is crucial in the growth and immune escape of malignant tumors. To predict clinical outcomes and immunological microenvironment of patients with BLCA, a hypoxia-related long non-coding RNA (HRlncRNA) signature was established. Methods: The Cancer Genome Atlas (TCGA) provided us with the differentially expressed profile of HRlncRNAs as well as clinical data from patients with BLCA, and we used weighted gene co-expression network analysis (WGCNA) to identify gene modules associated with malignancies. Results: Finally, Cox analysis revealed that HRlncRNAs, which comprised 13 lncRNAs, were implicated in the predictive signature. The training, testing, and overall cohorts of BLCA patients were divided into the low-risk group and high-risk group based on the median of the risk score. The Kaplan-Meier curves revealed that BLCA patients with a high-risk score had a poor prognosis, and the difference between subgroups was statistically significant. The receiver operating characteristic curves revealed that this signature outperformed other strategies in terms of predicting ability. Multivariate analysis revealed that the risk score was an independent prognostic index for overall survival (HR = 1.411; 1.259-1.582; p < 0.001). Then, a nomogram with clinicopathological features and risk score was established. This signature could effectively enhance the capacity to predict survival, according to the calibration plots, stratification, and clinical analysis. The majority of Kyoto Encyclopedia of Genes and Genomes (KEGG) were WNT, MAPK, and ERBB signaling pathways. Two groups had different immune cell subtypes, immune checkpoints, immunotherapy response, and anti-tumor drug sensitivity, which might result in differing survival outcomes. We then validated the differential expression of signature-related genes between tumor and normal tissues using TCGA paired data. Conclusion: This prognostic signature based on 13 HRlncRNAs may become a novel and potential prognostic biomarker, providing more accurate clinical decision-making and effective treatment for BLCA patients.Copyright © 2022 Cai, Zhou, Wei, Wu and Kong.",Journal Article,Cai D; Zhou Z; Wei G; Wu P; Kong G,,non_mrna,non_mrna
